,Unnamed: 0,MATNR,TYPE,VKORG,WAERS,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,RGITV,EXPRT
72,72,240,20,1001.0,3,30.73,1,60,201910,0,4400.0,-2.5,-1.3
73,73,250,18,1001.0,3,30.73,1,60,201910,0,10500.0,-2.5,-1.3
74,74,250,20,1001.0,3,30.73,1,60,201910,0,26495.0,-2.5,-1.3
75,75,252,26,1001.0,3,30.73,1,60,201910,0,675.0,-2.5,-1.3
76,76,253,20,1001.0,3,30.73,1,60,201910,0,144.0,-2.5,-1.3
77,77,253,26,1001.0,3,30.73,1,60,201910,0,520.0,-2.5,-1.3
78,78,256,20,1001.0,3,30.73,0,60,201910,10,300.0,-2.5,-1.3
79,79,257,20,1001.0,3,30.73,1,60,201910,0,516.0,-2.5,-1.3
80,80,258,20,1001.0,3,30.73,1,60,201910,0,39154.0,-2.5,-1.3
81,81,260,20,1001.0,3,30.73,1,60,201910,0,1350.0,-2.5,-1.3
82,82,260,26,1001.0,3,30.73,1,60,201910,0,316.0,-2.5,-1.3
83,83,261,20,1001.0,3,30.73,1,60,201910,0,2250.0,-2.5,-1.3
84,84,262,26,1001.0,2,1.0,1,66,201910,0,2970.0,-2.5,-1.3
85,85,264,26,1001.0,3,30.73,1,60,201910,0,1500.0,-2.5,-1.3
86,86,265,26,1001.0,3,30.73,1,60,201910,0,6000.0,-2.5,-1.3
87,87,266,26,1001.0,3,30.73,1,60,201910,0,3000.0,-2.5,-1.3
88,88,268,26,1001.0,3,30.73,1,60,201910,0,1000.0,-2.5,-1.3
89,89,269,20,1001.0,3,30.73,1,60,201910,0,3000.0,-2.5,-1.3
90,90,271,20,1001.0,3,30.73,1,60,201910,0,8000.0,-2.5,-1.3
91,91,272,20,1001.0,3,30.73,1,60,201910,0,13600.0,-2.5,-1.3
92,92,273,20,1001.0,3,30.73,1,60,201910,0,83200.0,-2.5,-1.3
93,93,274,20,1001.0,3,30.73,1,60,201910,0,216800.0,-2.5,-1.3
