,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
383,383,0540-01.35.12,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,1209.0,-2.5,-1.3
384,384,0540-03.40.14T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,78.0,-2.5,-1.3
385,385,0540-03.40.16T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,103.0,-2.5,-1.3
386,386,0540-03.40.18T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,102.0,-2.5,-1.3
387,387,0540-03.40.20T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,103.0,-2.5,-1.3
388,388,0540-03.40.22T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,204.0,-2.5,-1.3
389,389,0540-03.40.28T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,107.0,-2.5,-1.3
390,390,0540-03.50.16T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,159.0,-2.5,-1.3
391,391,0540-03.50.18T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,160.0,-2.5,-1.3
392,392,0540-03.50.20T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,154.0,-2.5,-1.3
393,393,0540-03.50.22T,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,151.0,-2.5,-1.3
394,394,0540-05.05.05,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,205.0,-2.5,-1.3
395,395,0540-05.06.05,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,212.0,-2.5,-1.3
396,396,0540-05.06.06,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,105.0,-2.5,-1.3
397,397,0540-05.06.09,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,104.0,-2.5,-1.3
398,398,0540-05.06.10,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,105.0,-2.5,-1.3
399,399,0540-05.06.11,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,105.0,-2.5,-1.3
400,400,0540-05.06.12,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,105.0,-2.5,-1.3
401,401,0540-11.01.20,YZS0,1005.0,30.73,5S01,100020.00 ,201910,PC,504.0,-2.5,-1.3
402,402,0540-11.02.08,YZS0,1005.0,30.73,5S01,100020.00 ,201910,PC,509.0,-2.5,-1.3
403,403,0540-2371-0002,YZS0,1005.0,30.73,5S01,100010.00 ,201910,PC,758.0,-2.5,-1.3
404,404,0540-2371-0003,YZS0,1005.0,30.73,5SP1,100010.00 ,201910,PC,385.0,-2.5,-1.3
405,405,0540-40.20.06,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,103.0,-2.5,-1.3
406,406,0540-40.20.08,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,102.0,-2.5,-1.3
407,407,0540-40.20.10,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,103.0,-2.5,-1.3
408,408,0540-40.20.12,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,103.0,-2.5,-1.3
409,409,0540-40.20.14,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,103.0,-2.5,-1.3
410,410,0540-40.20.16,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,100.0,-2.5,-1.3
411,411,0540-40.20.18,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,102.0,-2.5,-1.3
412,412,0540-40.20.20,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,100.0,-2.5,-1.3
413,413,0540-40.20.22,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,101.0,-2.5,-1.3
414,414,0540-40.20.24,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,106.0,-2.5,-1.3
415,415,0540-40.20.30,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,104.0,-2.5,-1.3
416,416,0540-40.30.08,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,130.0,-2.5,-1.3
417,417,0540-40.30.10,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,102.0,-2.5,-1.3
418,418,0540-40.30.12,YZS0,1005.0,30.73,5S02,100020.00 ,201910,PC,100.0,-2.5,-1.3
