,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
Unnamed: 0,1.0,0.12245830225513135,0.0512664159454822,-0.014718921220448915,0.018407234330172325,-0.005177057947622668,0.010253980068800368,0.9606286998808934,0.02175495126184795,-0.014968440943080863,0.5222357899214342,0.48411218452716087
MATNR,0.12245830225513135,1.0,0.03812948483371348,-0.0951419255790209,-0.16199649790725673,0.22510970311364065,-0.007882776148547618,0.08545885584692513,0.2563675502154381,-0.32219033637751443,0.04408659427578667,0.04422047089619599
TYPE,0.0512664159454822,0.03812948483371348,1.0,0.23898285827935536,-0.04205887903983908,0.12149619297877326,-0.5883558317604017,0.05087743338955307,0.19275779488453465,-0.0655777704845027,0.04381531291067306,0.04970182829013618
VKORG,-0.014718921220448915,-0.0951419255790209,0.23898285827935536,1.0,0.23886771426696143,-0.04002850423139056,-0.5120852855165072,-0.014263974722098761,-0.14564983730557024,0.0307148899835224,-0.025130517884641487,-0.026341036834661356
UKURS,0.018407234330172325,-0.16199649790725673,-0.04205887903983908,0.23886771426696143,1.0,-0.057582111213697926,-0.0336498083707801,0.0057462397457816545,0.017824613323125734,0.03869279127501506,-0.11505078361779693,-0.14077460755972557
MATKL,-0.005177057947622668,0.22510970311364065,0.12149619297877326,-0.04002850423139056,-0.057582111213697926,1.0,-0.06490096205006692,-0.010033717048474743,-0.023434056426738754,-0.02816644971399539,9.343709424682652e-05,-0.0010844304234004863
KUNNR,0.010253980068800368,-0.007882776148547618,-0.5883558317604017,-0.5120852855165072,-0.0336498083707801,-0.06490096205006692,1.0,0.009101750826085863,0.18175867823157735,0.13603825203555847,-0.018990367422189743,-0.025035903197032614
ERDAT,0.9606286998808934,0.08545885584692513,0.05087743338955307,-0.014263974722098761,0.0057462397457816545,-0.010033717048474743,0.009101750826085863,1.0,0.01747723504825315,-0.006306432139993566,0.562339813394992,0.538270056913391
UNIT,0.02175495126184795,0.2563675502154381,0.19275779488453465,-0.14564983730557024,0.017824613323125734,-0.023434056426738754,0.18175867823157735,0.01747723504825315,1.0,-0.013706246142060556,0.0027874627202649997,0.001448576618127282
MENGE,-0.014968440943080863,-0.32219033637751443,-0.0655777704845027,0.0307148899835224,0.03869279127501506,-0.02816644971399539,0.13603825203555847,-0.006306432139993566,-0.013706246142060556,1.0,-0.008502719931098907,-0.01239123398523675
YOY,0.5222357899214342,0.04408659427578667,0.04381531291067306,-0.025130517884641487,-0.11505078361779693,9.343709424682652e-05,-0.018990367422189743,0.562339813394992,0.0027874627202649997,-0.008502719931098907,1.0,0.9707562745507836
EAGRT,0.48411218452716087,0.04422047089619599,0.04970182829013618,-0.026341036834661356,-0.14077460755972557,-0.0010844304234004863,-0.025035903197032614,0.538270056913391,0.001448576618127282,-0.01239123398523675,0.9707562745507836,1.0
