,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
Unnamed: 0,1.0,0.09457697086973502,0.011474376327442458,-0.12132645654868768,-0.025357024904381634,0.044397969778018076,0.026890304798823664,0.957454065547817,0.07733329318926117,0.01418516131685412,0.5440085650378857,0.5211103430780973
MATNR,0.09457697086973502,1.0,0.18549270873355206,0.4426186672342478,0.06903275338502253,0.7102334113880391,0.5065614349280789,0.07030818810499177,0.7528255785767514,0.06693575265090049,0.05385288884771107,0.0523522792024283
TYPE,0.011474376327442458,0.18549270873355206,1.0,0.31695569325132583,-0.3021304930250075,0.2924932274078192,0.4571993814000247,0.0059301739753138995,0.14475900587030519,0.08950899958184833,0.00880460904029764,0.010781989722968947
VKORG,-0.12132645654868768,0.4426186672342478,0.31695569325132583,1.0,0.06775170929586576,0.6875131827894838,0.6822270680794127,-0.12963974946629886,0.28493799635086836,-0.002497558255841375,-0.024686735275769048,-0.01347546376231461
UKURS,-0.025357024904381634,0.06903275338502253,-0.3021304930250075,0.06775170929586576,1.0,0.09742992330913777,-0.14256577784297678,-0.03346544725368292,0.10131235580374942,0.02673202192867445,-0.06123720338576383,-0.0793470319186713
MATKL,0.044397969778018076,0.7102334113880391,0.2924932274078192,0.6875131827894838,0.09742992330913777,1.0,0.7378473795832329,0.023803008700120056,0.6291320751900099,-0.010172449387198973,0.02613384845512397,0.02678956550260216
KUNNR,0.026890304798823664,0.5065614349280789,0.4571993814000247,0.6822270680794127,-0.14256577784297678,0.7378473795832329,1.0,0.01400358514250094,0.35454434405920765,0.07163522038548195,0.03177557152890891,0.034504916642779326
ERDAT,0.957454065547817,0.07030818810499177,0.0059301739753138995,-0.12963974946629886,-0.03346544725368292,0.023803008700120056,0.01400358514250094,1.0,0.04331941137364922,0.009601821657266148,0.575814565463423,0.5676935682008762
UNIT,0.07733329318926117,0.7528255785767514,0.14475900587030519,0.28493799635086836,0.10131235580374942,0.6291320751900099,0.35454434405920765,0.04331941137364922,1.0,0.09700719138062745,0.026913543958304538,0.029337211817111204
MENGE,0.01418516131685412,0.06693575265090049,0.08950899958184833,-0.002497558255841375,0.02673202192867445,-0.010172449387198973,0.07163522038548195,0.009601821657266148,0.09700719138062745,1.0,0.009032279647582835,0.009641139435001481
YOY,0.5440085650378857,0.05385288884771107,0.00880460904029764,-0.024686735275769048,-0.06123720338576383,0.02613384845512397,0.03177557152890891,0.575814565463423,0.026913543958304538,0.009032279647582835,1.0,0.9701639707919905
EAGRT,0.5211103430780973,0.0523522792024283,0.010781989722968947,-0.01347546376231461,-0.0793470319186713,0.02678956550260216,0.034504916642779326,0.5676935682008762,0.029337211817111204,0.009641139435001481,0.9701639707919905,1.0
