,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
Unnamed: 0,1.0,0.013476908184318575,-0.06381696233115781,,,-0.09608234410879753,-0.12927021145142195,0.958093453931912,,-0.08722283696601756,0.4655411949696631,0.42878529425499673
MATNR,0.013476908184318575,1.0,-0.8614145943414316,,,-0.7947784949209846,-0.7470746499265211,0.01587274246099701,,-0.05645748195565931,-0.07647347293710527,-0.05866171958992446
TYPE,-0.06381696233115781,-0.8614145943414316,1.0,,,0.8984700184508082,0.810099018296098,-0.06344478646473464,,-0.10728700147744696,0.040776228166334826,0.023475191440634677
VKORG,,,,,,,,,,,,
UKURS,,,,,,,,,,,,
MATKL,-0.09608234410879753,-0.7947784949209846,0.8984700184508082,,,1.0,0.7493151563405289,-0.09182612285960595,,0.1167401108619935,0.04594448171225278,0.030092731427816877
KUNNR,-0.12927021145142195,-0.7470746499265211,0.810099018296098,,,0.7493151563405289,1.0,-0.14919141329036825,,0.13471577960089653,0.039580473447387306,0.033068375955080595
ERDAT,0.958093453931912,0.01587274246099701,-0.06344478646473464,,,-0.09182612285960595,-0.14919141329036825,1.0,,-0.09991076568588518,0.515255910715719,0.49317384044282436
UNIT,,,,,,,,,,,,
MENGE,-0.08722283696601756,-0.05645748195565931,-0.10728700147744696,,,0.1167401108619935,0.13471577960089653,-0.09991076568588518,,1.0,0.04247878275784806,0.03441101045395578
YOY,0.4655411949696631,-0.07647347293710527,0.040776228166334826,,,0.04594448171225278,0.039580473447387306,0.515255910715719,,0.04247878275784806,1.0,0.9716173341574761
EAGRT,0.42878529425499673,-0.05866171958992446,0.023475191440634677,,,0.030092731427816877,0.033068375955080595,0.49317384044282436,,0.03441101045395578,0.9716173341574761,1.0
