,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
0,0,1.41E+11,ZZX0,1001.0,31.14,1S01,100171.00 ,201909,PC,31002000.0,-1.4,-3.3
1,1,1.42E+11,ZZX0,1001.0,31.14,1S99,100171.00 ,201909,PC,36000.0,-1.4,-3.3
2,2,014803265-001,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,15000.0,-2.5,-1.3
3,3,014803265-003,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,12000.0,-2.5,-1.3
4,4,014803265-004,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,6000.0,-2.5,-1.3
5,5,014803265-008,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,27000.0,-2.5,-1.3
6,6,014806171-001,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,144000.0,-2.5,-1.3
7,7,014806171-005,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,201600.0,-2.5,-1.3
8,8,014809-772-603,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,6707.0,-2.5,-1.3
9,9,014809-774-SS3,ZZB0,1001.0,30.73,1P01,100118.00 ,201910,BAG,5600.0,-2.5,-1.3
10,10,014809-774-SS3,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,4557.0,-2.5,-1.3
11,11,014809-775-SS3,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,308.0,-2.5,-1.3
12,12,014813119-005,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,36000.0,-2.5,-1.3
13,13,014813119-011,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,36000.0,-2.5,-1.3
14,14,014814518-004,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,14400.0,-2.5,-1.3
15,15,014822036-011,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,108000.0,-2.5,-1.3
16,16,014822037-005,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,356400.0,-2.5,-1.3
17,17,014822037-007,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,79200.0,-2.5,-1.3
18,18,014822037-008,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,198000.0,-2.5,-1.3
19,19,014822045-004,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,108000.0,-2.5,-1.3
20,20,014822046-001,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,90000.0,-2.5,-1.3
21,21,014822046-004,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,270000.0,-2.5,-1.3
22,22,014823251-005,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,63000.0,-2.5,-1.3
23,23,014823258-005,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,72000.0,-2.5,-1.3
24,24,014823258-006,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,36000.0,-2.5,-1.3
25,25,014823258-008,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,36000.0,-2.5,-1.3
26,26,014823299-009,ZZX0,1001.0,30.73,1P01,100034.00 ,201910,BAG,4500.0,-2.5,-1.3
27,27,014847244557-494,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,12500.0,-2.5,-1.3
28,28,014847244557-640,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,1000.0,-2.5,-1.3
29,29,014847244558-494,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,8050.0,-2.5,-1.3
30,30,014847244558-640,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,1100.0,-2.5,-1.3
31,31,0148615-B-008-N,ZZS0,1001.0,1.0,1P01,100125.00 ,201910,BAG,11000.0,-2.5,-1.3
32,32,0148633S-0060-2,ZZX0,1001.0,30.73,1A01,100172.00 ,201910,SET,4000.0,-2.5,-1.3
33,33,01488010-B-008-N,ZZS0,1001.0,1.0,1P01,100125.00 ,201910,BAG,21000.0,-2.5,-1.3
34,34,01488010-P-010,ZZS0,1001.0,1.0,1P01,100125.00 ,201910,BAG,16000.0,-2.5,-1.3
35,35,0148840029-13,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,4000.0,-2.5,-1.3
36,36,0148840029-32,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,8400.0,-2.5,-1.3
37,37,0148840057-00A,ZZE0,1001.0,30.73,1A01,100118.00 ,201910,PC,2150.0,-2.5,-1.3
38,38,0148840133-32,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,900.0,-2.5,-1.3
39,39,0148840679-13,ZZB0,1001.0,30.73,1P01,100118.00 ,201910,BAG,4200.0,-2.5,-1.3
40,40,0148840679-13,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,2100.0,-2.5,-1.3
41,41,0148840679-32,ZZB0,1001.0,30.73,1P01,100118.00 ,201910,BAG,67200.0,-2.5,-1.3
42,42,0148840679-32,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,48300.0,-2.5,-1.3
43,43,0148A201-811-455,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,2000.0,-2.5,-1.3
44,44,0148A201-811-455,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,512.0,-2.5,-1.3
45,45,0148A201-816-604,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,1500.0,-2.5,-1.3
46,46,0148AMW-85001-3P,ZZS0,1001.0,1.0,1P01,100137.00 ,201910,BAG,110000.0,-2.5,-1.3
47,47,0148B202-328-604,ZZB0,1001.0,30.73,1P01,100118.00 ,201910,BAG,28800.0,-2.5,-1.3
48,48,0148B202-328-604,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,12600.0,-2.5,-1.3
49,49,0148B202-516-455,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,10520.0,-2.5,-1.3
50,50,0148B202-516-494A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,3000.0,-2.5,-1.3
51,51,0148B202-516-498,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,314.0,-2.5,-1.3
52,52,0148B202-517-455,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,5908.0,-2.5,-1.3
53,53,0148B202-517-498,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,162.0,-2.5,-1.3
54,54,0148B202-517-613A,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,425.0,-2.5,-1.3
55,55,0148B202-578-301S,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,6000.0,-2.5,-1.3
56,56,0148B202-578-400,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,14000.0,-2.5,-1.3
57,57,0148B202-578-494,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,54000.0,-2.5,-1.3
58,58,0148B202-578-632,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,20000.0,-2.5,-1.3
59,59,0148B202-578-640,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,30000.0,-2.5,-1.3
60,60,0148B202-578-652,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,28000.0,-2.5,-1.3
61,61,0148B220-050-STL,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,3518.0,-2.5,-1.3
62,62,0148B220-279-301A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,1000.0,-2.5,-1.3
63,63,0148B220-279-494A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,31000.0,-2.5,-1.3
64,64,0148B220-279-632A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,5000.0,-2.5,-1.3
65,65,0148B220-279-640A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,23000.0,-2.5,-1.3
66,66,0148B220-279-652A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,1500.0,-2.5,-1.3
67,67,0148B220-374-301,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,1600.0,-2.5,-1.3
68,68,0148B220-374-400,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,34000.0,-2.5,-1.3
69,69,0148B220-374-494,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,86400.0,-2.5,-1.3
70,70,0148B220-374-632,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,7600.0,-2.5,-1.3
71,71,0148B220-374-640,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,40000.0,-2.5,-1.3
72,72,0148B220-374-652,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,4400.0,-2.5,-1.3
73,73,0148C203-736-455,ZZB0,1001.0,30.73,1P01,100118.00 ,201910,BAG,10500.0,-2.5,-1.3
74,74,0148C203-736-455,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,26495.0,-2.5,-1.3
75,75,0148C203-736-494,ZZS0,1001.0,30.73,1P01,100118.00 ,201910,BAG,675.0,-2.5,-1.3
76,76,0148C203-736-613A,ZZE0,1001.0,30.73,1P01,100118.00 ,201910,BAG,144.0,-2.5,-1.3
