,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
273,273,0348-401Z-2208-ROHS,YZS0,1003.0,30.73,3SW01,100180.00 ,201910,PC,200.0,-2.5,-1.3
274,274,0348-401Z-2308-ROHS,YZS0,1003.0,30.73,3SW01,100180.00 ,201910,PC,200.0,-2.5,-1.3
275,275,0348-A12-FBITL0-ED,YZX0,1003.0,30.73,3SW01,100182.00 ,201910,PC,7.0,-2.5,-1.3
276,276,0348-A12-LA00L0YRMD,YZS0,1003.0,30.73,3SW01,100179.00 ,201910,PC,1.0,-2.5,-1.3
277,277,0348-A12-LA0TL0-D,YZS0,1003.0,1.0,3SW01,100188.00 ,201910,PC,200.0,-2.5,-1.3
278,278,0348-A12-LAYT00YMD,YZS0,1003.0,30.73,3SW01,100179.00 ,201910,PC,19.0,-2.5,-1.3
279,279,0348-A12-LAZT00YENMD,YZS0,1003.0,30.73,3SW01,100179.00 ,201910,PC,210.0,-2.5,-1.3
280,280,0348-A12-LBKTL0-C1D,YZS0,1003.0,30.73,3SW01,100183.00 ,201910,PC,15.0,-2.5,-1.3
281,281,0348-A12-LC0000-RD,YZX0,1003.0,30.73,3SW01,100182.00 ,201910,PC,1.0,-2.5,-1.3
282,282,0348-A12-LD0A00-CRLD,YZS0,1003.0,30.73,3SW01,100178.00 ,201910,PC,2.0,-2.5,-1.3
283,283,0348-A13-0BITL0-E,YZX0,1003.0,30.73,3SW01,100182.00 ,201910,PC,3.0,-2.5,-1.3
284,284,0348-A14-0C0000-R,YZX0,1003.0,30.73,3SW01,100182.00 ,201910,PC,1.0,-2.5,-1.3
285,285,0348-A14-LA0000-C1,YZS0,1003.0,30.73,3SW01,100178.00 ,201910,PC,8.0,-2.5,-1.3
286,286,0348-A15-0AL0L0YT,YZS0,1003.0,30.73,3SW01,100179.00 ,201910,PC,8.0,-2.5,-1.3
287,287,0348-A16-LA0TL0,YZS0,1003.0,1.0,3SW01,100188.00 ,201910,PC,300.0,-2.5,-1.3
