,Unnamed: 0,MATNR,TYPE,VKORG,UKURS,MATKL,KUNNR,ERDAT,UNIT,MENGE,YOY,EAGRT
Unnamed: 0,1.0,0.013691160359695847,0.07936547927025364,-0.041533847241257575,-0.013797487108834001,-0.03842253919293605,0.14495531684380772,0.9590641855187466,-0.024543929100361014,0.021306002785786843,0.5290365814518521,0.4812109561838502
MATNR,0.013691160359695847,1.0,-0.1354064729809006,0.7621710140888035,0.3420622002685978,0.4697485196441149,0.0997714717058263,-0.00577016609693311,0.4088561075494694,0.07849146410331723,-0.0249183760886397,-0.026929296853577846
TYPE,0.07936547927025364,-0.1354064729809006,1.0,0.04147722921833249,0.07627046277589465,0.09790877842740461,-0.04595524349110876,0.07743718882747866,0.07691543105041669,0.028461875557595523,0.03819579833156858,0.0367172423338203
VKORG,-0.041533847241257575,0.7621710140888035,0.04147722921833249,1.0,0.2767419252245215,0.674373434701772,0.06210336612072285,-0.05557090444188634,0.5081499351330199,-0.006682709203951853,-0.04911044520569501,-0.04822332941866339
UKURS,-0.013797487108834001,0.3420622002685978,0.07627046277589465,0.2767419252245215,1.0,0.2811029711944286,-0.07928942009326509,-0.02847778217933517,0.2392908534568144,0.24681811230092646,-0.027953821769002695,-0.019594271745786956
MATKL,-0.03842253919293605,0.4697485196441149,0.09790877842740461,0.674373434701772,0.2811029711944286,1.0,0.0539060521017693,-0.048492748826234396,0.10016138669369438,0.019009136364276282,-0.044174271896369695,-0.045504144457339496
KUNNR,0.14495531684380772,0.0997714717058263,-0.04595524349110876,0.06210336612072285,-0.07928942009326509,0.0539060521017693,1.0,0.1484105572367532,-0.05054413245877344,-0.00438400513485572,0.04670627546038036,0.04406128699799033
ERDAT,0.9590641855187466,-0.00577016609693311,0.07743718882747866,-0.05557090444188634,-0.02847778217933517,-0.048492748826234396,0.1484105572367532,1.0,-0.031033497503230516,0.013537709051787321,0.5672399604574265,0.5338503965517256
UNIT,-0.024543929100361014,0.4088561075494694,0.07691543105041669,0.5081499351330199,0.2392908534568144,0.10016138669369438,-0.05054413245877344,-0.031033497503230516,1.0,0.011876060213870854,-0.033084575147632855,-0.027528689279507808
MENGE,0.021306002785786843,0.07849146410331723,0.028461875557595523,-0.006682709203951853,0.24681811230092646,0.019009136364276282,-0.00438400513485572,0.013537709051787321,0.011876060213870854,1.0,-0.011945702951666247,-0.01623430303034909
YOY,0.5290365814518521,-0.0249183760886397,0.03819579833156858,-0.04911044520569501,-0.027953821769002695,-0.044174271896369695,0.04670627546038036,0.5672399604574265,-0.033084575147632855,-0.011945702951666247,1.0,0.9698610307569892
EAGRT,0.4812109561838502,-0.026929296853577846,0.0367172423338203,-0.04822332941866339,-0.019594271745786956,-0.045504144457339496,0.04406128699799033,0.5338503965517256,-0.027528689279507808,-0.01623430303034909,0.9698610307569892,1.0
